t,r,u,y
6.68,0.31497,-0.15613,0.38125
6.69,0.31814,-0.15413,0.38036
6.7,0.32226,-0.1445,0.37841
6.71,0.32582,-0.136,0.37697
6.72,0.33004,-0.12375,0.37552
6.73,0.33404,-0.112,0.37452
6.74,0.3391,-0.10625,0.37569
6.75,0.34383,-0.09875,0.37652
6.76,0.34867,-0.08925,0.37797
6.77,0.35373,-0.082499,0.37969
6.78,0.35953,-0.059428,0.37891
6.79,0.3654,-0.046,0.38075
6.8,0.37096,-0.029,0.38208
6.81,0.37708,-0.01275,0.38364
6.82,0.38354,0.0045714,0.38583
6.83,0.38992,0.029874,0.38659
6.84,0.39654,0.04525,0.39031
6.85,0.40321,0.068125,0.39254
6.86,0.41036,0.10071,0.39333
6.87,0.41767,0.135,0.39409
6.88,0.42445,0.1645,0.39621
6.89,0.43168,0.1765,0.40232
6.9,0.43924,0.17575,0.41144
6.91,0.4473,0.18175,0.42
6.92,0.4547,0.22188,0.42061
6.93,0.46248,0.26062,0.422
6.94,0.47026,0.2805,0.42768
6.95,0.47883,0.31425,0.43168
6.96,0.48661,0.3395,0.43657
6.97,0.49473,0.367,0.44146
6.98,0.50262,0.394,0.44658
